compromised_nodes,is_success,count_checks,avg_keyset_size,keypool_size
"[7, 8]",0,5,1,4
"[7, 2]",0,5,1,4
"[6, 7]",0,5,1,4
"[6, 4]",0,3,1,4
"[8, 0]",0,7,1,4
"[0, 1]",0,7,1,4
"[4, 2]",0,3,1,4
"[0, 7]",0,7,1,4
"[2, 5]",0,4,1,4
"[7, 6]",0,5,1,4
"[6, 5]",0,4,1,4
"[8, 0]",0,7,1,4
"[4, 7]",0,5,1,4
"[8, 0]",0,7,1,4
"[2, 4]",0,3,1,4
"[7, 5]",0,5,1,4
"[2, 6]",0,2,1,4
"[5, 1]",0,6,1,4
"[2, 7]",0,5,1,4
"[7, 0]",0,7,1,4
"[0, 4]",0,7,1,4
"[2, 1]",0,6,1,4
"[7, 0]",0,7,1,4
"[0, 5]",0,7,1,4
"[8, 6]",0,2,1,4
"[4, 8]",0,3,1,4
"[7, 5]",0,5,1,4
"[4, 1]",0,6,1,4
"[7, 0]",0,7,1,4
"[5, 6]",0,4,1,4
"[8, 7]",0,5,1,4
"[0, 6]",0,7,1,4
"[4, 7]",0,5,1,4
"[0, 1]",0,7,1,4
"[4, 0]",0,7,1,4
"[7, 5]",0,5,1,4
"[2, 5]",0,4,1,4
"[7, 0]",0,7,1,4
"[4, 1]",0,6,1,4
"[6, 8]",0,2,1,4
"[7, 8]",0,5,1,4
"[1, 6]",0,6,1,4
"[1, 2]",0,6,1,4
"[8, 5]",0,4,1,4
"[0, 1]",0,7,1,4
"[5, 6]",0,4,1,4
"[4, 7]",0,5,1,4
"[5, 1]",0,6,1,4
"[1, 6]",0,6,1,4
"[6, 7]",0,5,1,4
"[5, 7]",0,5,1,4
"[4, 5]",0,4,1,4
"[7, 5]",0,5,1,4
"[0, 4]",0,7,1,4
"[5, 4]",0,4,1,4
"[6, 8]",0,2,1,4
"[8, 4]",0,3,1,4
"[4, 0]",0,7,1,4
"[1, 5]",0,6,1,4
"[0, 6]",0,7,1,4
"[7, 4]",0,5,1,4
"[6, 2]",0,2,1,4
"[4, 2]",0,3,1,4
"[0, 7]",0,7,1,4
"[0, 8]",0,7,1,4
"[5, 2]",0,4,1,4
"[6, 5]",0,4,1,4
"[7, 2]",0,5,1,4
"[8, 0]",0,7,1,4
"[2, 6]",0,2,1,4
"[4, 1]",0,6,1,4
"[4, 0]",0,7,1,4
"[5, 7]",0,5,1,4
"[0, 2]",0,7,1,4
"[2, 0]",0,7,1,4
"[4, 6]",0,3,1,4
"[0, 1]",0,7,1,4
"[7, 4]",0,5,1,4
"[5, 1]",0,6,1,4
"[6, 0]",0,7,1,4
"[6, 7]",0,5,1,4
"[6, 4]",0,3,1,4
"[5, 2]",0,4,1,4
"[8, 0]",0,7,1,4
"[6, 5]",0,4,1,4
"[7, 1]",0,6,1,4
"[6, 4]",0,3,1,4
"[8, 5]",0,4,1,4
"[1, 4]",0,6,1,4
"[2, 6]",0,2,1,4
"[1, 7]",0,6,1,4
"[2, 0]",0,7,1,4
"[0, 7]",0,7,1,4
"[4, 1]",0,6,1,4
"[8, 0]",0,7,1,4
"[1, 2]",0,6,1,4
"[8, 0]",0,7,1,4
"[1, 7]",0,6,1,4
"[8, 0]",0,7,1,4
"[4, 7]",0,5,1,4
"[1, 8]",0,6,1,4
"[8, 2]",1,1,1,4
"[6, 2]",0,2,1,4
"[1, 4]",0,6,1,4
"[5, 0]",0,7,1,4
"[7, 1]",0,6,1,4
"[4, 6]",0,3,1,4
"[8, 4]",0,3,1,4
"[6, 8]",0,2,1,4
"[4, 2]",0,3,1,4
"[0, 7]",0,7,1,4
"[0, 2]",0,7,1,4
"[8, 5]",0,4,1,4
"[1, 7]",0,6,1,4
"[6, 8]",0,2,1,4
"[5, 7]",0,5,1,4
"[0, 1]",0,7,1,4
"[7, 2]",0,5,1,4
"[4, 0]",0,7,1,4
"[0, 8]",0,7,1,4
"[7, 0]",0,7,1,4
"[0, 8]",0,7,1,4
"[4, 6]",0,3,1,4
"[1, 4]",0,6,1,4
"[1, 6]",0,6,1,4
"[7, 0]",0,7,1,4
"[8, 0]",0,7,1,4
"[0, 8]",0,7,1,4
"[4, 0]",0,7,1,4
"[6, 5]",0,4,1,4
"[2, 4]",0,3,1,4
"[6, 1]",0,6,1,4
"[5, 6]",0,4,1,4
"[2, 8]",0,1,1,4
"[5, 8]",0,4,1,4
"[7, 4]",0,5,1,4
"[6, 4]",0,3,1,4
"[0, 7]",0,7,1,4
"[0, 6]",0,7,1,4
"[6, 5]",0,4,1,4
"[1, 0]",0,7,1,4
"[4, 7]",0,5,1,4
"[1, 2]",0,6,1,4
"[0, 1]",0,7,1,4
"[0, 1]",0,7,1,4
"[8, 0]",0,7,1,4
"[2, 4]",0,3,1,4
"[8, 7]",0,5,1,4
"[5, 4]",0,4,1,4
"[4, 5]",0,4,1,4
"[0, 4]",0,7,1,4
"[6, 0]",0,7,1,4
"[7, 0]",0,7,1,4
"[0, 8]",0,7,1,4
"[1, 5]",0,6,1,4
"[7, 8]",0,5,1,4
"[6, 7]",0,5,1,4
"[8, 1]",0,6,1,4
"[7, 5]",0,5,1,4
"[5, 1]",0,6,1,4
"[5, 8]",0,4,1,4
"[6, 7]",0,5,1,4
"[0, 2]",0,7,1,4
"[8, 2]",0,1,1,4
"[8, 7]",0,5,1,4
"[0, 1]",0,7,1,4
"[1, 8]",0,6,1,4
"[5, 7]",0,5,1,4
"[1, 0]",0,7,1,4
"[2, 8]",0,1,1,4
"[8, 2]",0,1,1,4
"[7, 2]",0,5,1,4
"[2, 1]",0,6,1,4
"[2, 8]",0,1,1,4
"[4, 5]",0,4,1,4
"[1, 6]",0,6,1,4
"[2, 5]",0,4,1,4
"[2, 5]",0,4,1,4
"[0, 6]",0,7,1,4
"[1, 0]",0,7,1,4
"[7, 2]",0,5,1,4
"[4, 1]",0,6,1,4
"[6, 7]",0,5,1,4
"[7, 0]",0,7,1,4
"[2, 4]",0,3,1,4
"[0, 7]",0,7,1,4
"[2, 8]",0,1,1,4
"[2, 7]",0,5,1,4
"[8, 5]",0,4,1,4
"[4, 7]",0,5,1,4
"[6, 2]",0,2,1,4
"[6, 2]",0,2,1,4
"[0, 8]",0,7,1,4
"[7, 1]",0,6,1,4
"[4, 5]",0,4,1,4
"[7, 2]",0,5,1,4
"[6, 4]",0,3,1,4
"[4, 7]",0,5,1,4
"[8, 6]",0,2,1,4
"[0, 1]",0,7,1,4
"[6, 1]",0,6,1,4
"[5, 2]",0,4,1,4
"[5, 8]",0,4,1,4
"[4, 6]",0,3,1,4
"[2, 8]",0,1,1,4
"[7, 2]",0,5,1,4
"[0, 6]",0,7,1,4
"[7, 6]",0,5,1,4
"[2, 4]",0,3,1,4
"[2, 8]",1,1,1,4
"[2, 7]",0,5,1,4
"[0, 2]",0,7,1,4
"[0, 2]",0,7,1,4
"[6, 4]",0,3,1,4
"[1, 2]",0,6,1,4
"[6, 7]",0,5,1,4
"[1, 7]",0,6,1,4
"[6, 1]",0,6,1,4
"[8, 1]",0,6,1,4
"[4, 5]",0,4,1,4
"[7, 6]",0,5,1,4
"[8, 1]",1,6,1,4
"[8, 6]",0,2,1,4
"[0, 8]",0,7,1,4
"[7, 4]",0,5,1,4
"[0, 5]",0,7,1,4
"[5, 2]",0,4,1,4
"[1, 6]",0,6,1,4
"[6, 8]",0,2,1,4
"[1, 8]",0,6,1,4
"[1, 7]",0,6,1,4
"[2, 7]",0,5,1,4
"[4, 8]",0,3,1,4
"[2, 1]",0,6,1,4
"[4, 1]",0,6,1,4
"[4, 8]",0,3,1,4
"[7, 4]",0,5,1,4
"[7, 5]",0,5,1,4
"[8, 6]",0,2,1,4
"[5, 2]",0,4,1,4
"[8, 0]",0,7,1,4
"[7, 0]",0,7,1,4
"[5, 8]",0,4,1,4
"[6, 2]",0,2,1,4
"[7, 6]",0,5,1,4
"[0, 8]",0,7,1,4
"[2, 6]",0,2,1,4
"[1, 7]",0,6,1,4
"[4, 5]",0,4,1,4
"[6, 0]",0,7,1,4
"[1, 6]",0,6,1,4
"[5, 0]",0,7,1,4
"[5, 2]",0,4,1,4
"[1, 2]",0,6,1,4
"[8, 2]",0,1,1,4
"[0, 5]",0,7,1,4
"[1, 8]",0,6,1,4
"[8, 1]",0,6,1,4
"[1, 7]",0,6,1,4
"[0, 2]",0,7,1,4
"[8, 4]",0,3,1,4
"[2, 7]",0,5,1,4
"[8, 1]",0,6,1,4
"[1, 0]",0,7,1,4
"[2, 4]",0,3,1,4
"[8, 1]",0,6,1,4
"[2, 0]",0,7,1,4
"[2, 5]",0,4,1,4
"[8, 2]",1,1,1,4
"[1, 2]",0,6,1,4
"[2, 5]",0,4,1,4
"[2, 4]",0,3,1,4
"[7, 1]",0,6,1,4
"[8, 0]",0,7,1,4
"[5, 2]",0,4,1,4
"[5, 6]",0,4,1,4
"[0, 2]",0,7,1,4
"[8, 0]",0,7,1,4
"[8, 7]",0,5,1,4
"[8, 7]",0,5,1,4
"[2, 5]",0,4,1,4
"[0, 1]",0,7,1,4
"[5, 0]",0,7,1,4
"[4, 5]",0,4,1,4
"[4, 2]",0,3,1,4
"[6, 2]",0,2,1,4
"[0, 7]",0,7,1,4
"[7, 0]",0,7,1,4
"[4, 1]",0,6,1,4
"[0, 4]",0,7,1,4
"[0, 1]",0,7,1,4
"[0, 6]",0,7,1,4
"[1, 5]",0,6,1,4
"[0, 6]",0,7,1,4
"[0, 8]",0,7,1,4
"[6, 5]",0,4,1,4
"[1, 2]",0,6,1,4
"[8, 2]",0,1,1,4
"[0, 8]",0,7,1,4
"[8, 4]",0,3,1,4
"[8, 5]",0,4,1,4
"[7, 8]",0,5,1,4
"[4, 1]",0,6,1,4
"[0, 2]",0,7,1,4
"[8, 7]",0,5,1,4
"[8, 7]",0,5,1,4
"[6, 0]",0,7,1,4
"[7, 2]",0,5,1,4
"[8, 0]",0,7,1,4
"[7, 2]",0,5,1,4
"[5, 0]",0,7,1,4
"[8, 5]",0,4,1,4
"[5, 7]",0,5,1,4
"[0, 7]",0,7,1,4
"[4, 8]",0,3,1,4
"[6, 8]",1,2,1,4
"[1, 8]",0,6,1,4
"[5, 8]",0,4,1,4
"[1, 2]",0,6,1,4
"[2, 8]",0,1,1,4
"[5, 1]",0,6,1,4
"[1, 2]",0,6,1,4
"[7, 0]",0,7,1,4
"[4, 5]",0,4,1,4
"[5, 0]",0,7,1,4
"[5, 0]",0,7,1,4
"[5, 2]",0,4,1,4
"[5, 7]",0,5,1,4
"[8, 2]",1,1,1,4
"[8, 2]",0,1,1,4
"[0, 1]",0,7,1,4
"[5, 6]",0,4,1,4
"[2, 8]",0,1,1,4
"[7, 2]",0,5,1,4
"[8, 0]",0,7,1,4
"[7, 5]",0,5,1,4
"[7, 8]",0,5,1,4
"[0, 8]",0,7,1,4
"[6, 1]",0,6,1,4
"[0, 7]",0,7,1,4
"[1, 8]",0,6,1,4
"[6, 7]",0,5,1,4
"[2, 8]",1,1,1,4
"[0, 4]",0,7,1,4
"[5, 7]",0,5,1,4
"[8, 2]",0,1,1,4
"[2, 5]",0,4,1,4
"[1, 6]",0,6,1,4
"[2, 7]",0,5,1,4
"[7, 2]",0,5,1,4
"[0, 1]",0,7,1,4
"[0, 6]",0,7,1,4
"[2, 1]",0,6,1,4
"[0, 1]",0,7,1,4
"[5, 7]",0,5,1,4
"[7, 0]",0,7,1,4
"[8, 2]",0,1,1,4
"[1, 5]",0,6,1,4
"[6, 8]",0,2,1,4
"[2, 4]",0,3,1,4
"[2, 1]",0,6,1,4
"[4, 1]",0,6,1,4
"[6, 1]",0,6,1,4
"[7, 4]",0,5,1,4
"[5, 1]",0,6,1,4
"[1, 8]",0,6,1,4
"[5, 4]",0,4,1,4
"[7, 2]",0,5,1,4
"[5, 0]",0,7,1,4
"[0, 8]",0,7,1,4
"[8, 7]",0,5,1,4
"[1, 2]",0,6,1,4
"[0, 8]",0,7,1,4
"[0, 1]",0,7,1,4
"[5, 7]",0,5,1,4
"[8, 6]",0,2,1,4
"[6, 1]",0,6,1,4
"[4, 5]",0,4,1,4
"[0, 7]",0,7,1,4
"[4, 2]",0,3,1,4
"[7, 8]",0,5,1,4
"[0, 5]",0,7,1,4
"[8, 5]",0,4,1,4
"[4, 1]",0,6,1,4
"[5, 7]",0,5,1,4
"[2, 6]",0,2,1,4
"[2, 7]",0,5,1,4
"[5, 2]",0,4,1,4
"[5, 8]",0,4,1,4
"[2, 1]",0,6,1,4
"[6, 8]",0,2,1,4
"[7, 5]",0,5,1,4
"[8, 1]",0,6,1,4
"[2, 6]",0,2,1,4
"[1, 4]",0,6,1,4
"[2, 6]",0,2,1,4
"[2, 7]",0,5,1,4
"[0, 2]",0,7,1,4
"[7, 2]",0,5,1,4
"[8, 4]",0,3,1,4
"[8, 4]",0,3,1,4
"[7, 5]",0,5,1,4
"[0, 5]",0,7,1,4
"[5, 4]",0,4,1,4
"[5, 2]",0,4,1,4
"[1, 0]",0,7,1,4
"[5, 1]",0,6,1,4
"[6, 4]",1,3,1,4
"[1, 5]",0,6,1,4
"[6, 2]",0,2,1,4
"[7, 1]",0,6,1,4
"[6, 4]",0,3,1,4
"[7, 6]",0,5,1,4
"[5, 6]",0,4,1,4
"[7, 6]",0,5,1,4
"[0, 5]",0,7,1,4
"[6, 1]",0,6,1,4
"[1, 5]",0,6,1,4
"[5, 0]",0,7,1,4
"[2, 5]",0,4,1,4
"[8, 4]",0,3,1,4
"[0, 5]",0,7,1,4
"[8, 2]",0,1,1,4
"[5, 2]",0,4,1,4
"[8, 7]",0,5,1,4
"[7, 6]",0,5,1,4
"[7, 5]",0,5,1,4
"[0, 4]",0,7,1,4
"[8, 7]",0,5,1,4
"[1, 6]",0,6,1,4
"[1, 8]",0,6,1,4
"[8, 4]",0,3,1,4
"[8, 2]",0,1,1,4
"[4, 6]",0,3,1,4
"[4, 1]",0,6,1,4
"[5, 4]",0,4,1,4
"[0, 6]",0,7,1,4
"[7, 5]",0,5,1,4
"[8, 7]",0,5,1,4
"[4, 5]",0,4,1,4
"[6, 8]",0,2,1,4
"[2, 4]",0,3,1,4
"[5, 1]",0,6,1,4
"[5, 6]",0,4,1,4
"[1, 7]",0,6,1,4
"[5, 7]",0,5,1,4
"[8, 5]",0,4,1,4
"[1, 2]",0,6,1,4
"[1, 8]",0,6,1,4
"[1, 7]",0,6,1,4
"[0, 7]",0,7,1,4
"[5, 1]",0,6,1,4
"[4, 5]",0,4,1,4
"[5, 2]",0,4,1,4
"[4, 5]",0,4,1,4
"[5, 2]",0,4,1,4
"[4, 7]",0,5,1,4
"[1, 5]",0,6,1,4
"[4, 1]",0,6,1,4
"[6, 7]",0,5,1,4
"[0, 2]",0,7,1,4
"[0, 8]",0,7,1,4
"[8, 2]",0,1,1,4
"[7, 8]",0,5,1,4
"[4, 8]",0,3,1,4
"[1, 6]",0,6,1,4
"[1, 7]",0,6,1,4
"[7, 4]",0,5,1,4
"[1, 0]",0,7,1,4
"[8, 0]",0,7,1,4
"[7, 5]",0,5,1,4
"[5, 7]",0,5,1,4
"[8, 1]",0,6,1,4
"[7, 0]",0,7,1,4
"[2, 4]",0,3,1,4
"[6, 1]",0,6,1,4
"[2, 1]",0,6,1,4
"[7, 4]",0,5,1,4
"[5, 0]",0,7,1,4
"[8, 1]",0,6,1,4
"[8, 0]",0,7,1,4
"[7, 0]",0,7,1,4
"[8, 2]",0,1,1,4
"[8, 1]",0,6,1,4
"[6, 2]",0,2,1,4
"[1, 7]",0,6,1,4
"[6, 2]",0,2,1,4
"[8, 5]",0,4,1,4
"[7, 8]",0,5,1,4
"[2, 1]",0,6,1,4
"[1, 6]",0,6,1,4
"[2, 8]",0,1,1,4
"[6, 1]",0,6,1,4
"[0, 8]",0,7,1,4
"[6, 4]",1,3,1,4
"[8, 2]",1,1,1,4
"[2, 8]",0,1,1,4
"[0, 2]",0,7,1,4
"[4, 5]",0,4,1,4
"[5, 7]",0,5,1,4
"[8, 5]",0,4,1,4
"[2, 8]",0,1,1,4
"[6, 5]",0,4,1,4
"[6, 2]",0,2,1,4
"[7, 8]",0,5,1,4
"[4, 0]",0,7,1,4
"[8, 1]",0,6,1,4
"[5, 8]",0,4,1,4
"[6, 4]",0,3,1,4
"[7, 4]",0,5,1,4
"[8, 4]",0,3,1,4
"[7, 6]",0,5,1,4
"[2, 8]",0,1,1,4
"[8, 7]",0,5,1,4
"[6, 1]",0,6,1,4
"[8, 0]",0,7,1,4
"[8, 2]",0,1,1,4
"[8, 0]",0,7,1,4
"[0, 7]",0,7,1,4
"[4, 2]",0,3,1,4
"[1, 0]",0,7,1,4
"[2, 0]",0,7,1,4
"[1, 2]",0,6,1,4
"[8, 6]",0,2,1,4
"[7, 0]",0,7,1,4
"[7, 2]",0,5,1,4
"[7, 5]",0,5,1,4
"[7, 0]",0,7,1,4
"[4, 0]",0,7,1,4
"[4, 0]",0,7,1,4
"[8, 6]",0,2,1,4
"[8, 0]",0,7,1,4
"[4, 8]",0,3,1,4
"[7, 8]",0,5,1,4
"[0, 6]",0,7,1,4
"[6, 2]",0,2,1,4
"[4, 8]",0,3,1,4
"[0, 5]",0,7,1,4
"[4, 2]",0,3,1,4
"[0, 6]",0,7,1,4
"[5, 8]",0,4,1,4
"[1, 8]",0,6,1,4
"[1, 6]",0,6,1,4
"[6, 2]",0,2,1,4
"[8, 6]",0,2,1,4
"[6, 7]",0,5,1,4
"[2, 0]",0,7,1,4
"[0, 1]",0,7,1,4
"[7, 1]",0,6,1,4
"[6, 2]",0,2,1,4
"[5, 2]",0,4,1,4
"[2, 8]",0,1,1,4
"[5, 6]",0,4,1,4
"[0, 6]",0,7,1,4
"[8, 6]",0,2,1,4
"[1, 4]",0,6,1,4
"[2, 0]",0,7,1,4
"[5, 1]",0,6,1,4
"[5, 4]",0,4,1,4
"[6, 5]",0,4,1,4
"[8, 6]",0,2,1,4
"[6, 0]",0,7,1,4
"[2, 0]",0,7,1,4
"[7, 5]",0,5,1,4
"[7, 0]",0,7,1,4
"[1, 7]",0,6,1,4
"[8, 5]",0,4,1,4
"[5, 4]",0,4,1,4
"[5, 6]",0,4,1,4
"[6, 5]",0,4,1,4
"[7, 1]",0,6,1,4
"[6, 5]",0,4,1,4
"[6, 4]",0,3,1,4
"[7, 2]",0,5,1,4
"[6, 5]",0,4,1,4
"[7, 2]",0,5,1,4
"[1, 2]",0,6,1,4
"[7, 8]",0,5,1,4
"[5, 1]",0,6,1,4
"[0, 4]",0,7,1,4
"[5, 2]",1,4,1,4
"[5, 1]",0,6,1,4
"[6, 0]",0,7,1,4
"[2, 8]",0,1,1,4
"[1, 6]",0,6,1,4
"[0, 2]",0,7,1,4
"[6, 8]",1,2,1,4
"[0, 2]",0,7,1,4
"[6, 2]",0,2,1,4
"[0, 6]",0,7,1,4
"[6, 4]",0,3,1,4
"[2, 5]",0,4,1,4
"[0, 1]",0,7,1,4
"[8, 1]",0,6,1,4
"[1, 2]",0,6,1,4
"[7, 6]",0,5,1,4
"[6, 2]",0,2,1,4
"[4, 5]",0,4,1,4
"[6, 7]",0,5,1,4
"[2, 4]",0,3,1,4
"[2, 5]",0,4,1,4
"[5, 4]",0,4,1,4
"[0, 4]",0,7,1,4
"[1, 6]",0,6,1,4
"[5, 6]",0,4,1,4
"[4, 7]",0,5,1,4
"[6, 0]",0,7,1,4
"[6, 7]",0,5,1,4
"[1, 8]",0,6,1,4
"[7, 0]",0,7,1,4
"[1, 6]",0,6,1,4
"[1, 7]",0,6,1,4
"[8, 7]",0,5,1,4
"[5, 1]",0,6,1,4
"[1, 7]",0,6,1,4
"[8, 7]",0,5,1,4
"[5, 8]",0,4,1,4
"[5, 2]",0,4,1,4
"[2, 6]",0,2,1,4
"[8, 0]",0,7,1,4
"[6, 2]",0,2,1,4
"[4, 8]",0,3,1,4
"[7, 5]",0,5,1,4
"[7, 1]",0,6,1,4
"[6, 7]",0,5,1,4
"[6, 8]",0,2,1,4
"[6, 1]",0,6,1,4
"[5, 8]",0,4,1,4
"[2, 4]",0,3,1,4
"[0, 4]",0,7,1,4
"[0, 2]",0,7,1,4
"[7, 1]",0,6,1,4
"[4, 6]",0,3,1,4
"[1, 2]",0,6,1,4
"[5, 8]",0,4,1,4
"[1, 0]",0,7,1,4
"[5, 0]",0,7,1,4
"[4, 2]",0,3,1,4
"[1, 5]",0,6,1,4
"[6, 8]",0,2,1,4
"[6, 5]",0,4,1,4
"[2, 1]",0,6,1,4
"[8, 6]",0,2,1,4
"[1, 4]",0,6,1,4
"[6, 1]",0,6,1,4
"[7, 8]",0,5,1,4
"[2, 5]",0,4,1,4
"[0, 8]",0,7,1,4
"[1, 5]",0,6,1,4
"[4, 8]",0,3,1,4
"[7, 6]",0,5,1,4
"[2, 4]",0,3,1,4
"[2, 1]",0,6,1,4
"[2, 7]",0,5,1,4
"[7, 8]",0,5,1,4
"[0, 7]",0,7,1,4
"[1, 2]",0,6,1,4
"[7, 4]",0,5,1,4
"[8, 7]",0,5,1,4
"[5, 4]",0,4,1,4
"[7, 4]",0,5,1,4
"[6, 0]",0,7,1,4
"[5, 2]",0,4,1,4
"[1, 6]",0,6,1,4
"[1, 0]",0,7,1,4
"[7, 6]",0,5,1,4
"[6, 0]",0,7,1,4
"[0, 6]",0,7,1,4
"[1, 6]",0,6,1,4
"[8, 2]",0,1,1,4
"[7, 2]",0,5,1,4
"[7, 2]",0,5,1,4
"[0, 2]",0,7,1,4
"[0, 6]",0,7,1,4
"[7, 4]",0,5,1,4
"[5, 2]",0,4,1,4
"[1, 0]",0,7,1,4
"[8, 7]",0,5,1,4
"[6, 0]",0,7,1,4
"[0, 7]",0,7,1,4
"[6, 2]",0,2,1,4
"[5, 0]",0,7,1,4
"[6, 7]",0,5,1,4
"[5, 1]",0,6,1,4
"[7, 1]",0,6,1,4
"[1, 8]",0,6,1,4
"[0, 5]",0,7,1,4
"[5, 4]",0,4,1,4
"[5, 1]",0,6,1,4
"[6, 8]",1,2,1,4
"[4, 1]",0,6,1,4
"[2, 1]",0,6,1,4
"[1, 8]",0,6,1,4
"[6, 8]",0,2,1,4
"[8, 1]",0,6,1,4
"[6, 4]",0,3,1,4
"[2, 6]",0,2,1,4
"[6, 2]",0,2,1,4
"[7, 6]",0,5,1,4
"[8, 1]",0,6,1,4
"[2, 4]",0,3,1,4
"[5, 7]",0,5,1,4
"[7, 2]",0,5,1,4
"[7, 4]",0,5,1,4
"[5, 1]",0,6,1,4
"[0, 2]",0,7,1,4
"[2, 7]",0,5,1,4
"[8, 7]",0,5,1,4
"[5, 0]",0,7,1,4
"[0, 7]",0,7,1,4
"[1, 5]",0,6,1,4
"[4, 0]",0,7,1,4
"[7, 5]",0,5,1,4
"[0, 2]",0,7,1,4
"[6, 4]",0,3,1,4
"[6, 5]",0,4,1,4
"[7, 6]",0,5,1,4
"[5, 7]",0,5,1,4
"[1, 7]",0,6,1,4
"[2, 4]",0,3,1,4
"[0, 2]",0,7,1,4
"[7, 2]",0,5,1,4
"[7, 6]",0,5,1,4
"[7, 0]",0,7,1,4
"[6, 4]",0,3,1,4
"[4, 8]",0,3,1,4
"[6, 0]",0,7,1,4
"[8, 4]",0,3,1,4
"[0, 6]",0,7,1,4
"[8, 0]",0,7,1,4
"[1, 2]",0,6,1,4
"[7, 2]",0,5,1,4
"[6, 2]",0,2,1,4
"[5, 1]",0,6,1,4
"[7, 1]",0,6,1,4
"[5, 0]",0,7,1,4
"[8, 2]",1,1,1,4
"[4, 1]",0,6,1,4
"[2, 1]",0,6,1,4
"[8, 6]",0,2,1,4
"[6, 8]",0,2,1,4
"[4, 2]",0,3,1,4
"[1, 2]",0,6,1,4
"[6, 2]",0,2,1,4
"[2, 7]",0,5,1,4
"[0, 7]",0,7,1,4
"[7, 5]",0,5,1,4
"[6, 5]",0,4,1,4
"[4, 2]",0,3,1,4
"[6, 2]",0,2,1,4
"[7, 5]",0,5,1,4
"[8, 0]",0,7,1,4
"[2, 5]",0,4,1,4
"[2, 1]",0,6,1,4
"[2, 4]",0,3,1,4
"[7, 0]",0,7,1,4
"[6, 2]",0,2,1,4
"[2, 8]",0,1,1,4
"[5, 6]",0,4,1,4
"[6, 1]",0,6,1,4
"[2, 5]",0,4,1,4
"[4, 0]",0,7,1,4
"[5, 0]",0,7,1,4
"[7, 8]",0,5,1,4
"[2, 5]",0,4,1,4
"[5, 2]",0,4,1,4
"[2, 6]",0,2,1,4
"[7, 6]",0,5,1,4
"[4, 5]",0,4,1,4
"[8, 2]",1,1,1,4
"[5, 0]",0,7,1,4
"[8, 5]",0,4,1,4
"[2, 0]",0,7,1,4
"[8, 4]",0,3,1,4
"[0, 1]",0,7,1,4
"[4, 2]",0,3,1,4
"[0, 5]",0,7,1,4
"[8, 4]",0,3,1,4
"[4, 7]",0,5,1,4
"[1, 5]",0,6,1,4
"[7, 6]",0,5,1,4
"[8, 1]",0,6,1,4
"[0, 1]",0,7,1,4
"[1, 5]",0,6,1,4
"[1, 8]",0,6,1,4
"[4, 6]",1,3,1,4
"[6, 4]",0,3,1,4
"[1, 7]",0,6,1,4
"[4, 6]",0,3,1,4
"[6, 2]",0,2,1,4
"[2, 7]",0,5,1,4
"[5, 1]",0,6,1,4
"[7, 8]",0,5,1,4
"[5, 1]",0,6,1,4
"[1, 6]",0,6,1,4
"[8, 1]",0,6,1,4
"[7, 8]",0,5,1,4
"[8, 6]",0,2,1,4
"[0, 4]",0,7,1,4
"[5, 4]",0,4,1,4
"[8, 1]",0,6,1,4
"[7, 6]",0,5,1,4
"[5, 8]",0,4,1,4
"[1, 7]",0,6,1,4
"[2, 5]",0,4,1,4
"[7, 4]",0,5,1,4
"[1, 5]",0,6,1,4
"[1, 0]",0,7,1,4
"[4, 0]",0,7,1,4
"[4, 5]",0,4,1,4
"[8, 1]",0,6,1,4
"[2, 6]",0,2,1,4
"[2, 0]",0,7,1,4
"[4, 0]",0,7,1,4
"[1, 7]",0,6,1,4
"[6, 8]",0,2,1,4
"[5, 0]",0,7,1,4
"[4, 0]",0,7,1,4
"[4, 5]",0,4,1,4
"[0, 6]",0,7,1,4
"[4, 7]",0,5,1,4
"[5, 6]",0,4,1,4
"[7, 5]",0,5,1,4
"[4, 8]",0,3,1,4
"[6, 0]",0,7,1,4
"[4, 2]",0,3,1,4
"[0, 5]",0,7,1,4
"[1, 4]",0,6,1,4
"[8, 2]",0,1,1,4
"[2, 7]",0,5,1,4
"[6, 7]",0,5,1,4
"[7, 5]",0,5,1,4
"[1, 4]",0,6,1,4
"[0, 6]",0,7,1,4
"[8, 2]",0,1,1,4
"[7, 5]",0,5,1,4
"[1, 5]",0,6,1,4
"[8, 6]",0,2,1,4
"[8, 6]",0,2,1,4
"[1, 0]",0,7,1,4
"[6, 5]",0,4,1,4
"[1, 6]",0,6,1,4
"[5, 8]",0,4,1,4
"[2, 7]",0,5,1,4
"[1, 6]",0,6,1,4
"[1, 2]",0,6,1,4
"[4, 6]",0,3,1,4
"[6, 5]",0,4,1,4
"[7, 6]",0,5,1,4
"[0, 4]",0,7,1,4
"[0, 5]",0,7,1,4
"[4, 6]",0,3,1,4
"[2, 1]",0,6,1,4
"[5, 4]",0,4,1,4
"[4, 5]",0,4,1,4
"[5, 4]",0,4,1,4
"[8, 7]",0,5,1,4
"[7, 1]",0,6,1,4
"[0, 8]",0,7,1,4
"[6, 1]",0,6,1,4
"[8, 7]",0,5,1,4
"[5, 4]",0,4,1,4
"[2, 6]",0,2,1,4
"[0, 6]",0,7,1,4
"[5, 0]",0,7,1,4
"[1, 0]",0,7,1,4
"[4, 7]",0,5,1,4
"[6, 5]",0,4,1,4
"[4, 0]",0,7,1,4
"[2, 7]",0,5,1,4
"[4, 8]",0,3,1,4
"[7, 6]",0,5,1,4
"[0, 5]",0,7,1,4
